"w_geocode","avgc_allworkers","medc_allworkers","workersinBlockall","liveoutsideRegion","liveinsideRegion","perc_workers_liveinRegion","perc_workers_liveoutsideRegion","avgc_livewithin40","medc_livewithin40","workerw40","avgc_25_res","medc_25_res","workers25"
"510790302002004",NA,NA,10,3,7,70,30,4.10336963487081,4.17180336512501,7,NA,NA,9
"510790302002009",NA,NA,11,6,5,45.4545454545455,54.5454545454545,8.926181207504,7.25711080962658,6,8.926181207504,7.25711080962658,6
"510790302002010",NA,NA,13,7,6,46.1538461538462,53.8461538461538,1.98211878355318,1.79112766810035,6,NA,NA,10
"510790302002016",NA,NA,20,17,3,15,85,15.8918663341148,14.7481675503318,4,NA,NA,12
"510790302002024",NA,NA,3,1,2,66.6666666666667,33.3333333333333,5.05129657704459,5.05129657704459,2,NA,NA,3
"510790302002030",NA,NA,76,33,43,56.578947368421,43.421052631579,6.71401903471509,3.85572396016489,38,NA,NA,66
"510790302002038",NA,NA,6,2,4,66.6666666666667,33.3333333333333,8.18455028385812,5.86218896303238,5,8.18455028385812,5.86218896303238,5
"510790302002045",NA,NA,10,2,8,80,20,3.31803048266443,2.51816701006278,8,NA,NA,9
"510790302002051",NA,NA,8,5,3,37.5,62.5,15.4341279864585,12.4236577653494,5,NA,NA,8
"510790302002052",45.7933857611027,45.7933857611027,2,1,1,50,50,3.46928146472792,3.46928146472792,1,3.46928146472792,3.46928146472792,1
"510790302003012",NA,NA,6,2,4,66.6666666666667,33.3333333333333,11.4447286699223,7.56382194633754,4,NA,NA,6
"510790302003032",14.3192021984132,14.3192021984132,2,1,1,50,50,14.3192021984132,14.3192021984132,2,14.3192021984132,14.3192021984132,2
"510790302003033",NA,NA,2,1,1,50,50,4.03424434259183,4.03424434259183,1,4.03424434259183,4.03424434259183,1
"510790302003036",NA,NA,6,1,5,83.3333333333333,16.6666666666667,7.46282215558709,6.62147898440866,5,NA,NA,6
"510790302003039",NA,NA,3,2,1,33.3333333333333,66.6666666666667,3.77747632495799,3.77747632495799,1,NA,NA,3
"510790302003040",2.56917885039284,2.56917885039284,1,0,1,100,0,2.56917885039284,2.56917885039284,1,2.56917885039284,2.56917885039284,1
"510790302003043",NA,NA,6,3,3,50,50,2.13938167090389,1.87260875992976,3,NA,NA,6
"510790302003048",10.5070418550831,10.5070418550831,2,0,2,100,0,10.5070418550831,10.5070418550831,2,10.5070418550831,10.5070418550831,2
"510790302003053",NA,NA,101,43,58,57.4257425742574,42.5742574257426,6.90928197445448,5.03802205703096,58,NA,NA,87
"510790302003056",NA,NA,25,15,10,40,60,13.665365116042,7.44013790355757,15,NA,NA,18
"510790302003063",NA,NA,16,7,9,56.25,43.75,5.58823966275003,4.34048176658734,7,NA,NA,15
"510790302003069",NA,NA,292,217,75,25.6849315068493,74.3150684931507,10.3584399319031,5.51912416374785,84,NA,NA,205
"510790302003071",NA,NA,66,35,31,46.969696969697,53.030303030303,7.48362949955922,4.63702007639486,31,NA,NA,57
"510790302003074",NA,NA,20,10,10,50,50,9.30175167727789,5.37304502574684,11,NA,NA,17
"510790302003080",NA,NA,30,21,9,30,70,10.1252260002926,3.4508190071554,9,NA,NA,23
"510790302003085",NA,NA,56,35,21,37.5,62.5,7.09907821387185,5.38202189623718,19,NA,NA,51
"510790302004001",NA,NA,210,113,97,46.1904761904762,53.8095238095238,7.83110315645301,4.52931908063925,104,NA,NA,182
"510790302004006",NA,NA,35,21,14,40,60,8.80006666350533,4.1166602144711,15,NA,NA,27
"510790302004008",NA,NA,3,1,2,66.6666666666667,33.3333333333333,4.56855598340074,4.56855598340074,2,4.56855598340074,4.56855598340074,2
"510790302004013",NA,NA,51,23,28,54.9019607843137,45.0980392156863,6.41064282027423,4.03778817783575,27,NA,NA,44
