"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"510650203002",22.9672615584647,8.93089560362428,10.1563631849731,17.8511702776239,872,653,710,814,23.6269039336982,8.93812627416968,10.2404644210319,18.7780590067183,"51065"
"510650203003",20.9204855414589,8.43931914496967,9.19338063821073,17.890007760465,427,320,350,401,22.4509647048734,8.43853774264707,9.68844192155931,18.3634785769358,"51065"
"510790301011",21.913325018797,5.20190492256699,7.6789536094204,17.7906388955511,650,413,511,593,24.9027623027888,5.11723357453197,8.62973022428885,18.7982539729947,"51079"
"510790301012",22.534446778761,5.57462478880875,8.54884107588409,16.860013373946,994,629,784,913,24.2135230519633,5.69256320162043,8.74797610541679,18.2095575001423,"51079"
"510790301021",27.9614611740561,6.68649092904686,10.4421153431504,20.1534988135149,659,433,533,618,26.4846354302734,7.19093846942426,10.4408414039224,20.728835802618,"51079"
"510790301022",21.3115678401429,4.75650646537411,7.35909739370943,18.4074223428614,312,209,246,292,23.8295557475254,4.72740129856861,7.30609578652254,18.7130549359579,"51079"
"510790301023",22.357327378372,4.87326093246176,7.1245913623979,16.0138051751032,771,518,606,710,23.3075960699907,4.80440046160832,7.38829587727996,17.546455229973,"51079"
"510790301024",19.540636238648,5.06473464072317,7.7708176532562,16.5122576634594,632,434,513,594,23.1427282837337,5.39683417978808,8.222874956328,17.579651645109,"51079"
"510790302001",24.0431574847116,7.57668085873846,9.97461929339389,19.9514788900054,1302,870,1043,1216,24.3153571380637,7.58623991106307,9.94779150883906,19.7400908708758,"51079"
"510790302002",20.999711223061,5.3135375468268,7.66033144660999,16.6155917466095,774,546,633,717,21.0634102018368,5.3255934362227,7.82536426752293,16.3196166981987,"51079"
"510790302003",21.8799296081169,9.30265460291396,10.60520263671,18.163927373611,677,463,540,627,24.3149013677513,8.92403061111121,10.4951179267759,20.1503341637709,"51079"
"510790302004",23.9248340440787,5.9329254951067,8.37316505724947,17.2260928278337,1433,980,1145,1321,23.4532197040292,6.26406471951484,8.67803393919317,17.6294532834351,"51079"
"511099501001",28.6605202292003,19.8150191040384,17.0447063311153,25.6931798274134,742,326,573,636,30.0785926452386,21.0710346737399,16.6778917503451,26.7338659996398,"51109"
"511099501002",28.9972285080925,18.3523728209003,16.9246532765116,26.6307919970586,590,245,436,509,33.0091115215823,17.4834996262598,16.7043724270583,27.7361957564405,"51109"
"511099501003",29.6417528545702,15.2996270236806,16.8544027159271,25.4755805314631,410,180,323,366,28.9009791438309,14.546123539568,16.5737641268236,25.4469337744589,"51109"
"511099501004",30.4068639795263,14.2340422224205,18.4642036833851,25.5085265563015,620,253,473,529,31.7942101945311,15.8187455786582,18.2759922223013,26.7135230538321,"51109"
"511099502011",30.3027365001029,16.0504129262369,18.2918747561842,25.2709763677355,611,334,494,547,29.2338314869459,16.2318693990001,17.7886521805855,25.3275821548688,"51109"
"511099502012",28.4846215021032,16.9505346627524,18.246963170991,24.9941792516495,711,401,558,629,28.7797051565511,16.7544993606114,17.696479555097,24.501361882667,"51109"
"511099502013",33.9182661571059,17.874156480338,18.6598156243687,27.8381704498028,685,386,540,620,31.8922238599047,17.9952711500494,18.8730067458883,26.8406252694907,"51109"
"511099502021",28.3875624043549,15.1762694018662,17.3067660721017,25.1141542759966,988,412,798,837,28.9203222219249,15.5953577147434,17.7651355988864,25.3637410597185,"51109"
