STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,003,010402,1,510030104021,Block Group 1,1990,28.92,31.13,28.61,84.05,88.04,83.49,Albemarle,1200.26,47.25
51,003,010402,2,510030104022,Block Group 2,1990,29.01,31.17,28.68,84.21,88.11,83.62,Albemarle,1191.39,46.91
51,003,010500,1,510030105001,Block Group 1,1990,28.62,30.86,28.29,83.52,87.55,82.93,Albemarle,1243.79,48.97
51,003,010500,2,510030105002,Block Group 2,1990,28.7,30.95,28.38,83.66,87.7,83.08,Albemarle,1236.35,48.68
51,003,010500,3,510030105003,Block Group 3,1990,28.9,31.13,28.54,84.02,88.04,83.37,Albemarle,1216.68,47.9
51,003,010601,1,510030106011,Block Group 1,1990,28.9,31.11,28.45,84.01,88,83.2,Albemarle,1217.57,47.94
51,003,010601,2,510030106012,Block Group 2,1990,28.97,31.17,28.5,84.15,88.1,83.3,Albemarle,1218.67,47.98
51,003,010601,3,510030106013,Block Group 3,1990,28.84,31.08,28.43,83.91,87.95,83.17,Albemarle,1228.53,48.37
51,003,010602,1,510030106021,Block Group 1,1990,28.94,31.15,28.51,84.09,88.08,83.32,Albemarle,1221.89,48.11
51,003,010602,2,510030106022,Block Group 2,1990,28.95,31.16,28.52,84.1,88.09,83.34,Albemarle,1222.78,48.14
51,003,010700,1,510030107001,Block Group 1,1990,28.84,31.08,28.42,83.92,87.95,83.16,Albemarle,1227.21,48.32
51,003,010700,2,510030107002,Block Group 2,1990,28.75,31.02,28.35,83.75,87.83,83.04,Albemarle,1233.95,48.58
51,003,010700,3,510030107003,Block Group 3,1990,28.7,30.97,28.33,83.66,87.75,82.99,Albemarle,1243.08,48.94
51,003,010800,1,510030108001,Block Group 1,1990,28.79,31.06,28.37,83.82,87.9,83.07,Albemarle,1229.28,48.4
51,003,010800,2,510030108002,Block Group 2,1990,28.71,30.99,28.34,83.68,87.78,83.01,Albemarle,1244.95,49.01
51,003,010800,3,510030108003,Block Group 3,1990,28.72,31.01,28.36,83.7,87.81,83.05,Albemarle,1246.52,49.08
51,003,010800,4,510030108004,Block Group 4,1990,28.67,30.96,28.31,83.6,87.73,82.96,Albemarle,1249.72,49.2
51,003,010800,5,510030108005,Block Group 5,1990,28.63,30.94,28.29,83.54,87.69,82.92,Albemarle,1254.2,49.38
51,003,010901,1,510030109011,Block Group 1,1990,28.65,30.96,28.32,83.56,87.72,82.98,Albemarle,1256.65,49.47
51,003,010901,2,510030109012,Block Group 2,1990,28.68,30.98,28.34,83.63,87.76,83.02,Albemarle,1251.47,49.27
51,003,010902,1,510030109021,Block Group 1,1990,28.53,30.86,28.25,83.36,87.55,82.86,Albemarle,1268.67,49.95
51,003,010902,2,510030109022,Block Group 2,1990,28.53,30.86,28.25,83.36,87.55,82.86,Albemarle,1268.67,49.95
51,003,010903,1,510030109031,Block Group 1,1990,28.63,30.95,28.33,83.54,87.71,82.99,Albemarle,1257.94,49.53
51,003,010903,2,510030109032,Block Group 2,1990,28.71,31.01,28.38,83.68,87.82,83.08,Albemarle,1249.34,49.19
51,003,011000,1,510030110001,Block Group 1,1990,28.67,31,28.29,83.6,87.81,82.92,Albemarle,1229.02,48.39
51,003,011000,2,510030110002,Block Group 2,1990,28.6,30.94,28.29,83.47,87.68,82.92,Albemarle,1256.93,49.49
51,003,011000,3,510030110003,Block Group 3,1990,28.54,30.93,28.2,83.37,87.67,82.76,Albemarle,1235.13,48.63
51,003,011000,4,510030110004,Block Group 4,1990,28.46,30.86,28.18,83.24,87.55,82.72,Albemarle,1254.63,49.39
51,003,011000,5,510030110005,Block Group 5,1990,28.65,31.01,28.28,83.56,87.82,82.91,Albemarle,1234.77,48.61
51,003,011100,1,510030111001,Block Group 1,1990,28.51,30.94,28.18,83.32,87.7,82.72,Albemarle,1219.92,48.03
51,003,011100,2,510030111002,Block Group 2,1990,28.5,30.96,28.18,83.29,87.72,82.72,Albemarle,1228.02,48.35
51,003,011100,3,510030111003,Block Group 3,1990,28.38,30.85,28.11,83.09,87.53,82.59,Albemarle,1237.2,48.71
51,003,011100,4,510030111004,Block Group 4,1990,28.37,30.85,28.09,83.07,87.52,82.55,Albemarle,1234.19,48.59
51,003,011100,5,510030111005,Block Group 5,1990,28.11,30.57,27.89,82.6,87.03,82.2,Albemarle,1245.83,49.05
51,003,011201,1,510030112011,Block Group 1,1990,27.38,29.75,27.41,81.28,85.56,81.34,Albemarle,1312.53,51.67
51,003,011201,2,510030112012,Block Group 2,1990,28.3,30.8,28.07,82.94,87.44,82.53,Albemarle,1237.94,48.74
51,003,011201,3,510030112013,Block Group 3,1990,28.11,30.49,27.97,82.6,86.88,82.35,Albemarle,1291.79,50.86
51,003,011202,1,510030112021,Block Group 1,1990,28.32,30.7,28.12,82.97,87.27,82.62,Albemarle,1279.67,50.38
51,003,011202,2,510030112022,Block Group 2,1990,28.39,30.79,28.22,83.11,87.43,82.8,Albemarle,1261.36,49.66
51,003,011301,1,510030113011,Block Group 1,1990,28.73,31.06,28.45,83.71,87.9,83.21,Albemarle,1235.12,48.63
51,003,011301,2,510030113012,Block Group 2,1990,28.54,30.88,28.36,83.37,87.58,83.04,Albemarle,1241.66,48.88
51,003,011301,3,510030113013,Block Group 3,1990,28.84,31.09,28.63,83.91,87.96,83.53,Albemarle,1187.72,46.76
51,003,011301,4,510030113014,Block Group 4,1990,28.73,31.06,28.6,83.72,87.9,83.48,Albemarle,1199.85,47.24
51,003,011302,1,510030113021,Block Group 1,1990,28.81,31.13,28.48,83.86,88.03,83.27,Albemarle,1232.01,48.5
51,003,011302,2,510030113022,Block Group 2,1990,28.76,31.09,28.46,83.77,87.96,83.22,Albemarle,1233.47,48.56
51,003,011303,1,510030113031,Block Group 1,1990,28.82,31.12,28.5,83.88,88.02,83.29,Albemarle,1227.63,48.33
51,003,011303,2,510030113032,Block Group 2,1990,28.79,31.08,28.48,83.82,87.95,83.26,Albemarle,1231.12,48.47
51,003,011400,1,510030114001,Block Group 1,1990,28.71,31.04,28.62,83.67,87.88,83.51,Albemarle,1203.51,47.38
