STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,001,090700,4,510010907004,Block Group 4,2010,30.8,32.55,30.18,87.43,90.6,86.32,1125.36,44.31
51,001,090700,5,510010907005,Block Group 5,2010,30.88,32.61,30.22,87.59,90.7,86.39,1122.74,44.2
51,001,090800,1,510010908001,Block Group 1,2010,30.5,32.37,30.01,86.9,90.27,86.03,1068.2,42.06
51,001,090800,2,510010908002,Block Group 2,2010,30.54,32.42,29.99,86.98,90.35,85.98,1022,40.24
51,001,090800,3,510010908003,Block Group 3,2010,30.73,32.53,30.08,87.32,90.55,86.15,1055.92,41.57
51,001,980100,1,510019801001,Block Group 1,2010,29.97,31.95,30.08,85.95,89.51,86.15,970.69,38.22
51,001,980200,1,510019802001,Block Group 1,2010,30.24,32.16,30.15,86.43,89.88,86.28,993.32,39.11
51,001,990100,0,510019901000,Block Group 0,2010,30.13,32.1,29.98,86.23,89.78,85.96,1008.54,39.71
51,001,990200,0,510019902000,Block Group 0,2010,31.31,33.03,30.73,88.36,91.46,87.32,1215.37,47.85
51,131,930100,1,511319301001,Block Group 1,2010,30.9,32.64,30.2,87.62,90.75,86.36,1103.79,43.46
51,131,930100,2,511319301002,Block Group 2,2010,30.84,32.59,30.13,87.51,90.66,86.24,1069.78,42.12
51,131,930100,3,511319301003,Block Group 3,2010,30.8,32.57,30.12,87.44,90.62,86.21,1073.32,42.26
51,131,930100,4,511319301004,Block Group 4,2010,30.7,32.51,30.01,87.25,90.51,86.03,994.24,39.14
51,131,930200,1,511319302001,Block Group 1,2010,30.9,32.64,30.16,87.61,90.75,86.29,1062.04,41.81
51,131,930200,2,511319302002,Block Group 2,2010,30.9,32.64,30.12,87.62,90.75,86.21,1042.61,41.05
51,131,930200,3,511319302003,Block Group 3,2010,30.94,32.67,30.11,87.69,90.81,86.19,988.33,38.91
51,131,930200,4,511319302004,Block Group 4,2010,30.85,32.6,30.05,87.52,90.68,86.1,978.89,38.54
