STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,001,090400,4155,510010904004155,Block 4155,0,3,221,18,6,0,33.33333333333333,0
51,001,090400,4103,510010904004103,Block 4103,1.35,4.9,222,20,9,0,45,0
51,001,090400,4101,510010904004101,Block 4101,18.73846153846154,7,223,65,43,0,66.15384615384615,0
51,001,090400,4093,510010904004093,Block 4093,1.3076923076923077,42.38461538461539,224,13,13,0,100,0
51,001,090400,4097,510010904004097,Block 4097,15.6875,28.8125,225,16,15,1,93.75,6.25
51,001,090700,2029,510010907002029,Block 2029,0,72.875,226,8,8,0,100,0
51,001,090600,4013,510010906004013,Block 4013,11.5,34.25,227,4,4,0,100,0
51,001,090400,4116,510010904004116,Block 4116,80.9618320610687,3.3282442748091605,228,131,12,0,9.16030534351145,0
51,001,090400,4078,510010904004078,Block 4078,44.5,0,229,2,0,0,0,0
51,001,090400,4150,510010904004150,Block 4150,6.25,34,230,4,4,0,100,0
51,001,090400,4058,510010904004058,Block 4058,4.676470588235294,9.941176470588236,231,34,16,1,47.05882352941176,2.941176470588235
51,001,090400,4054,510010904004054,Block 4054,3.411764705882353,5.647058823529412,232,17,8,0,47.05882352941176,0
51,001,090400,4066,510010904004066,Block 4066,11.842105263157896,24.763157894736842,233,38,29,2,76.31578947368422,5.263157894736842
51,001,090400,3156,510010904003156,Block 3156,0,0,234,1,0,0,0,0
51,001,090500,3069,510010905003069,Block 3069,9.532608695652174,12.554347826086957,235,92,26,1,28.26086956521739,1.0869565217391304
51,001,090700,2011,510010907002011,Block 2011,14.833333333333334,10.61111111111111,236,18,18,0,100,0
51,001,090400,4041,510010904004041,Block 4041,0,30,237,1,1,0,100,0
51,001,090400,3032,510010904003032,Block 3032,0,0,238,47,0,0,0,0
51,001,090800,1019,510010908001019,Block 1019,0,0,239,6449,0,0,0,0
51,001,090400,3155,510010904003155,Block 3155,25.181141439205955,1.0794044665012408,240,403,16,97,3.970223325062035,24.069478908188586
51,001,090400,3161,510010904003161,Block 3161,0,0,241,36,0,0,0,0
51,001,090400,3029,510010904003029,Block 3029,1.3098591549295775,0,242,71,0,0,0,0
51,001,090400,3137,510010904003137,Block 3137,0,0,243,89,0,0,0,0
51,001,090400,3136,510010904003136,Block 3136,0.14339339339339338,0,244,1332,0,0,0,0
51,001,090400,3135,510010904003135,Block 3135,0,0,245,10,0,0,0,0
