"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51001090700",2016,127,35,25,6,80,23,0,0,0,0,6,19,76,4,50,21,13,29,0,0,0,0,36,0,120,20,17,0,1,104,58,14,2.846,0,193,146,2,154989.637305699,131,98956.7901234568,70000,79000,0.225,0.416666666666667,0,0.000150069505876406,64.4736842105263,35.5263157894737,12923,155.5125,125,193,10.3626943005181,0.259067357512953,62.1761658031088,18.6528497409326,0.518134715025907,4907,40.6599998474121,52300,110.589996337891,1518,2624
"51001090700",2017,126,42,20,7,74,44,0,0,0,0,8,25,85,8,46,21,17,18,0,0,1,3,37,0,112,24,18,1,8,108,55,14,1.83,0,195,142,6,134502.564102564,127,75396.5517241379,58500,56000,0.223214285714286,0.432432432432432,0.5,0.000167523995348746,70.5882352941177,29.4117647058824,11848,163.756756756757,144.5,195,12.3076923076923,0.235897435897436,57.4358974358974,18.974358974359,4.1025641025641,4995,48.189998626709,53300,109.709999084473,1624,2602
"51001090800",2012,102,13,9,3,38,17,0,0,0,0,0,10,57,3,40,8,3,16,0,0,0,2,18,0,95,8,4,0,0,84,34,5,1.93,0,127,99,2,127763.779527559,117,72885.2459016393,61000,62000,0.273684210526316,0.666666666666667,NA,0.00023461521047454,77.1929824561403,22.8070175438596,7587,148.394736842105,132,127,6.2992125984252,0.31496062992126,74.8031496062992,14.1732283464567,0,3336,50.4500007629395,52600,84.9400024414062,1013,1913
"51001090800",2013,114,25,4,3,32,12,0,0,0,0,1,7,65,11,34,14,6,16,0,0,0,0,20,1,105,6,14,0,4,77,50,5,2.44,0,146,122,2,331636.98630137,115,87154.4715447154,59000,55000,0.20952380952381,0.3,0.5,0.000232726335312104,86.1538461538462,13.8461538461538,7236,109.8125,100,146,4.10958904109589,0.232876712328767,71.9178082191781,13.6986301369863,2.73972602739726,3336,50.4500007629395,51600,84.9400024414062,1013,1913
"51001090800",2014,74,20,13,2,31,19,0,0,0,0,0,5,42,1,32,17,6,11,0,0,0,3,17,0,71,10,8,0,3,64,30,7,1.765,0,109,84,2,134036.697247706,113,67830,57000,57000,0.295774647887324,0.411764705882353,0.666666666666667,0.000201422425989248,76.1904761904762,23.8095238095238,5427,154.096774193548,145,109,9.1743119266055,0.293577981651376,65.1376146788991,15.5963302752294,2.75229357798165,3336,50.4500007629395,52000,88.1699981689453,1013,1913
"51001090800",2015,91,23,10,3,38,18,0,0,0,0,2,6,54,5,25,12,12,19,0,0,0,1,23,0,76,11,16,0,1,68,38,6,3.4525,0,127,93,3,115251.968503937,104,69898.1481481481,60000,55000,0.157894736842105,0.304347826086957,0,0.000222267041502196,77.7777777777778,22.2222222222222,6215,107.210526315789,103,127,8.66141732283465,0.196850393700787,59.8425196850394,18.1102362204724,0.78740157480315,3336,50.4500007629395,52700,88.1699981689453,1013,1913
"51001090800",2016,67,24,14,4,47,21,0,0,0,0,3,10,39,6,39,12,9,4,0,0,0,0,26,0,69,10,4,0,4,57,41,7,4.78,0,109,86,1,123844.036697248,105,74959.595959596,45000,54000,0.333333333333333,0.461538461538462,0.5,0.000187035109847159,69.2307692307692,30.7692307692308,6927,133.787234042553,129,109,9.1743119266055,0.357798165137615,63.302752293578,23.8532110091743,3.6697247706422,3336,50.4500007629395,52300,88.1699981689453,1013,1913
"51001090800",2017,67,22,9,6,40,18,0,0,0,0,1,10,43,3,29,8,8,13,0,0,0,2,27,0,57,7,11,1,2,55,34,4,2.9825,0,104,78,1,118682.692307692,120.5,62887.6404494382,55000,59000,0.228070175438596,0.518518518518518,0.5,0.000215681553709723,72.0930232558139,27.906976744186,5398,136.45,130,104,6.73076923076923,0.278846153846154,54.8076923076923,25.9615384615385,1.92307692307692,3814,45.7299995422363,53300,85.6100006103516,927,1917
"51001980100",2012,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,NA,0,3,3,0,118000,142,131000,148000,67000,0.333333333333333,NA,NA,NA,100,0,174,NA,NA,3,0,0.333333333333333,100,0,0,NA,NA,52600,NA,NA,NA
"51001980100",2013,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,NA,0,3,3,0,207333.333333333,240,97666.6666666667,96000,74000,0,NA,NA,NA,100,0,382,72,72,3,0,0,100,0,0,NA,NA,51600,NA,NA,NA
