Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
Food Master,308 Ridge St,NA,Charlottesville,VA,22902,5554,CHARLOTTESVILLE,208585,"c(-78.485992, 38.028606)"
Food Lion 497,11 Orchard Rd,NA,Staunton,VA,24401,5533,STAUNTON,209038,"c(-79.072006, 38.117592)"
Dollar General 15947,24247 Constitution Hwy,NA,Unionville,VA,22567,2732,ORANGE,210841,"c(-77.951263, 38.267708)"
Food Lion 266,1751 S High St,NA,Harrisonburg,VA,22801,1553,HARRISONBURG,212415,"c(-78.900871, 38.432877)"
Kroger 343,850 Statler Blvd,NA,Staunton,VA,24401,4885,STAUNTON,212439,"c(-79.066505, 38.139065)"
KROGER STORE 228,245 Arch Ave,NA,Waynesboro,VA,22980,4658,WAYNESBORO,212475,"c(-78.887665, 38.066017)"
33 Quik Mart,12940 Jefferson Hwy,NA,Bumpass,VA,23024,3411,LOUISA,212543,"c(-77.83107, 37.883816)"
Kroger 334,1980 Rio Hill Ctr,NA,Charlottesville,VA,22901,1144,ALBEMARLE,213330,"c(-78.473373, 38.089115)"
Barracks Road Market,2613 Barracks Rd,NA,Charlottesville,VA,22901,2120,ALBEMARLE,215399,"c(-78.513245, 38.062737)"
Aldi 158,1900 Country Club Rd,NA,Harrisonburg,VA,22802,8840,HARRISONBURG,215726,"c(-78.839539, 38.43306)"
In & Out Market,2724 Irish Rd,NA,Esmont,VA,22937,1954,ALBEMARLE,216168,"c(-78.600746, 37.825447)"
Murphy Express 8741,34490 Twin Drive,NA,Locust Grove (Wilderness),VA,22508,NA,ORANGE,216311,"c(-77.767967, 38.370239)"
Dollar General 20317,49 Tyco St,NA,Harrisonburg,VA,22802,NA,HARRISONBURG,217595,"c(-78.855125, 38.461277)"
Goochland Supermarket,5260 River Rd W,NA,Goochland,VA,23063,2822,GOOCHLAND,218351,"c(-78.053757, 37.735668)"
Big Lots 5339,2715 W Main St,NA,Waynesboro,VA,22980,1617,WAYNESBORO,218472,"c(-78.927299, 38.081528)"
7-Eleven Inc F 10644A,416 S Main St,NA,Culpeper,VA,22701,3118,CULPEPER,219420,"c(-77.996933, 38.471218)"
Wayside Fastmart,2200 Jefferson Park Ave,NA,Charlottesville,VA,22903,3018,CHARLOTTESVILLE,219699,"c(-78.514915, 38.024925)"
High Up Gasoline Inc.,1011 N Main St,NA,Harrisonburg,VA,22802,4628,HARRISONBURG,219799,"c(-78.857239, 38.459587)"
Dollar General 18123,3259 Broad Street Rd,NA,Gum Spring,VA,23065,2246,GOOCHLAND,220301,"c(-77.898476, 37.776474)"
Deno's Food Mart,916 N Augusta St,NA,Staunton,VA,24401,3215,STAUNTON,220437,"c(-79.070885, 38.15794)"
B And R Market,800 Avon St,NA,Charlottesville,VA,22902,6114,CHARLOTTESVILLE,220995,"c(-78.479774, 38.023434)"
Roses 116,450 N Mason St,NA,Harrisonburg,VA,22802,4197,HARRISONBURG,221176,"c(-78.865158, 38.454231)"
Big Lots 1241,131 S Carlton St,NA,Harrisonburg,VA,22801,4326,HARRISONBURG,221693,"c(-78.858421, 38.442665)"
7-Eleven Store 34510A,1010 W Market St,NA,Harrisonburg,VA,22801,9001,HARRISONBURG,222330,"c(-78.885445, 38.452168)"
